,,0,1,2,3,4,5,6,7,8,9
8,5,"('Hit', 0.2778647978332496)","('Hit', 0.2758453547068378)","('Stay', 0.38152183436660747)","('Stay', 0.40488342016340045)","('Stay', 0.42499998261274125)","('Stay', 0.45056716636813426)","('Stay', 0.4590564787143796)","('Hit', 0.33856068898684355)","('Hit', 0.3083580367864483)","('Hit', 0.2955397704991986)"
8,6,"('Hit', 0.26781062229925734)","('Hit', 0.2662580621062991)","('Stay', 0.3801591693663034)","('Stay', 0.4032185325268068)","('Stay', 0.4238265589908083)","('Stay', 0.4481104424104231)","('Stay', 0.44489350945128703)","('Hit', 0.3277825847362552)","('Hit', 0.3170419980490736)","('Hit', 0.2822234764743968)"
8,7,"('Hit', 0.2635615615482414)","('Hit', 0.26278015178410696)","('Stay', 0.37812229875460807)","('Stay', 0.4015082968608486)","('Stay', 0.4210222865135956)","('Stay', 0.43357322253781927)","('Stay', 0.4413810896970817)","('Hit', 0.3395628224494721)","('Hit', 0.3113728270499267)","('Hit', 0.2790032734044526)"
8,8,"('Split', 0.27855276450468147)","('Split', 0.2779645124644027)","('Split', 0.5684560544926347)","('Split', 0.6105185709767431)","('Split', 0.6269002607651728)","('Split', 0.6801707543333022)","('Split', 0.6967704772133245)","('Split', 0.6618893408155262)","('Split', 0.4820828207017588)","('Split', 0.3058257851734567)"
9,0,"('Stay', 0.5499941133741678)","('Stay', 0.6038376348157589)","('Stay', 0.6847278702748172)","('Stay', 0.6858866852708418)","('Stay', 0.6964613278373634)","('Stay', 0.7222046802843414)","('Stay', 0.7203907294651817)","('Stay', 0.8074319591544971)","('Stay', 0.7900765502344707)","('Stay', 0.6318751257599546)"
9,1,"('Stay', 0.7759170058887054)","('Stay', 0.8087700423810453)","('Stay', 0.8230057507006555)","('Stay', 0.8178730301296153)","('Stay', 0.8232623587258201)","('Stay', 0.8392981446075805)","('Stay', 0.8370849130992776)","('Stay', 0.8874680972492104)","('Stay', 0.8934157944734071)","('Stay', 0.8821877014293817)"
9,2,"('Double', 0.578938058670242)","('Double', 0.5957525146959857)","('Double', 0.7694829815109103)","('Double', 0.7757229759334734)","('Double', 0.807471851626763)","('Double', 0.8487309001385042)","('Double', 0.8584230412161613)","('Double', 0.7398128802279634)","('Double', 0.6747324486919624)","('Double', 0.6138864881751918)"
9,3,"('Hit', 0.3068186624144189)","('Hit', 0.30350711779742684)","('Stay', 0.37053192721015066)","('Stay', 0.38020506453418984)","('Stay', 0.4185838540912843)","('Stay', 0.44517976095799133)","('Stay', 0.4549853834686744)","('Hit', 0.3784746713078025)","('Hit', 0.34383543614173867)","('Hit', 0.3056452511285907)"
9,4,"('Hit', 0.3017351772511726)","('Hit', 0.300082272878729)","('Stay', 0.3702117293115939)","('Stay', 0.3889145940140334)","('Stay', 0.4200424038088674)","('Stay', 0.44709039849510973)","('Stay', 0.45670587823831327)","('Hit', 0.3650619174757422)","('Hit', 0.33236220200011074)","('Hit', 0.319041302829668)"
9,5,"('Hit', 0.27451557705531315)","('Hit', 0.2707466531731694)","('Stay', 0.3793272880735012)","('Stay', 0.39020220174403486)","('Stay', 0.42185097454837706)","('Stay', 0.4488597008603702)","('Stay', 0.45706173345216)","('Hit', 0.32821896414147583)","('Hit', 0.3168805440939575)","('Hit', 0.2887518181728127)"
9,6,"('Hit', 0.24518576551950155)","('Hit', 0.24473177144187183)","('Stay', 0.3771918907335442)","('Stay', 0.3892974240851514)","('Stay', 0.42072827819621655)","('Stay', 0.4464014967769135)","('Stay', 0.44288997763928506)","('Hit', 0.3203168557409475)","('Hit', 0.291229164040176)","('Hit', 0.2608493930605808)"
9,7,"('Stay', 0.2472887529127262)","('Hit', 0.2430049646163938)","('Stay', 0.3758637595739795)","('Stay', 0.3875233136777023)","('Stay', 0.4179068312852188)","('Stay', 0.43184901666066344)","('Stay', 0.4402327531874352)","('Hit', 0.3138850463509475)","('Hit', 0.2872224484236649)","('Hit', 0.2594168720695495)"
9,8,"('Stay', 0.30853464093333743)","('Stay', 0.2666583167782559)","('Stay', 0.43684918026757535)","('Stay', 0.44534606341346294)","('Stay', 0.4635387241201502)","('Stay', 0.48604536931796155)","('Stay', 0.49436452909913486)","('Stay', 0.44690354922960845)","('Stay', 0.2995915966003916)","('Stay', 0.29974905053270906)"
9,9,"('Stay', 0.43386921501123654)","('Stay', 0.4110794085030118)","('Split', 0.6123486635581041)","('Split', 0.6152089543022878)","('Split', 0.6629420480992285)","('Split', 0.7155488565581598)","('Split', 0.7213796373632451)","('Stay', 0.7050245076063422)","('Split', 0.6095445679308658)","('Split', 0.45834406789303006)"
